Título,Año y Kms,Ubicación,Precio,Marca,Modelo,Subtipo,Recorrido,Climatización,Tracción,Color,Placa Número,Vidrios,Transmisión,Dirección,Motor,Tapizado,Combustible,Placa,Imagen URL
Chevrolet Aveo Emotion Advance,2018 104000 Kms.,Negociable,$ 11.900,Chevrolet,Aveo Emotion Advance,,,,,,,,,,,,,,
Volkswagen New Beetle,2009 103000 Kms.,Negociable,$ 13.600,Volkswagen,New Beetle,Hatchback (3 Puertas),103000 Kms,Aire Acondicionado,N/A,Plomo,4,Eléctricos,Manual,Electrónica,,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025120/1876440/o_o/pt_1876440_3187932.jpg
Volkswagen Beetle,2009 103000 Kms.,Negociable,$ 13.600,Volkswagen,Beetle,Coupé,103000 Kms,Aire Acondicionado,4 x 2,Plomo,4,Eléctricos,Manual,Electrónica,,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025120/1876447/o_o/pt_1876447_3871044.jpg
Audi A5,2008 96000 Kms.,Negociable,$ 21.900,Audi,A5,Sedán,96000 Kms,Aire Acondicionado,4 x 2,Dorado,5,Eléctricos,Automática,Electrónica,3200,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025120/1876449/o_o/pt_1876449_4044596.jpg
Great Wall Haval H5,2013 163726 Kms.,Negociable,$ 9.900,Great Wall,Haval H5,Todoterreno,163726 Kms,Aire Acondicionado,4 x 2,Plata,0,Eléctricos,Manual,Hidráulica,2400,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877336/o_o/pt_1877336_364904.jpeg
Nissan X-Trail Classic,2013 145000 Kms.,Negociable,$ 12.900,Nissan,X-Trail Classic,Todoterreno,145000 Kms,Aire Acondicionado,4 x 2,Plata,4,Eléctricos,Automática,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/8112024/1864082/o_o/1864082_1731083194240_739.jpg
Ford F150 LARIAT SC ECOBOOST AC 3.5 CD,2015 0 Kms.,Negociable,$ 34.900,Ford,F150 LARIAT SC ECOBOOST AC 3.5 CD,Camioneta Doble Cabina,77000 Millas,Aire Acondicionado,4 x 4,Blanco,4,Eléctricos,Automática,Hidráulica,3500,Cuero,Gasolina,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241126/1867413/o_o/pt_1867413_5808704.JPG
Ford Explorer,2017 0 Kms.,Negociable,$ 31.900,Ford,Explorer,Todoterreno,57000 Millas,Aire Acondicionado,4 x 4,Blanco,3,Eléctricos,Automática,Electrónica,3500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241126/1867415/o_o/pt_1867415_6171695.JPG
Kia Optima,2017 0 Kms.,Negociable,$ 15.900,Kia,Optima,Sedán,70000 Millas,Aire Acondicionado,4 x 2,Plata,8,Eléctricos,Automática,Electrónica,2000,Cuero,Híbrido,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241129/1868193/o_o/pt_1868193_7065842.jpg
Chevrolet D-MAX,2022 40000 Kms.,Negociable,$ 26.900,Chevrolet,D-MAX,Camioneta Doble Cabina,40000 Kms,Aire Acondicionado,4 x 2,Plomo,8,Eléctricos,Manual,Electrónica,2500,Tela,Diesel,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024127/1869557/o_o/pt_1869557_7065169.jpg
Chevrolet D-MAX CRDI 2.5 CD 4X2 TM DIESEL,2022 40000 Kms.,Negociable,$ 26.900,Chevrolet,D-MAX CRDI 2.5 CD 4X2 TM DIESEL,Camioneta Doble Cabina,40000 Kms,Aire Acondicionado,4 x 2,Plomo,8,Eléctricos,Manual,Electrónica,2500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024127/1869558/o_o/pt_1869558_7171440.jpg
Chevrolet D-MAX CRDI 2.5 CD 4X2 TM DIESEL,2023 53000 Kms.,Negociable,$ 25.400,Chevrolet,D-MAX CRDI 2.5 CD 4X2 TM DIESEL,Camioneta Doble Cabina,53000 Kms,Aire Acondicionado,4 x 2,Blanco,5,Eléctricos,Manual,Electrónica,2500,Tela,Diesel,Manabí,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871095/o_o/pt_1871095_461043.jpg
Kia New Sportage GT Line,2023 42000 Kms.,Negociable,$ 29.900,Kia,New Sportage GT Line,Todoterreno,42000 Kms,Aire Acondicionado,4 x 2,Rojo,4,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241220/1872145/o_o/pt_1872145_8646796.jpg
Toyota Corolla 1.8,2020 65000 Kms.,Negociable,$ 19.900,Toyota,Corolla 1.8,Sedán,65000 Kms,Aire Acondicionado,4 x 2,Rojo,8,Eléctricos,Automática,Electrónica,1800,Cuero,Híbrido,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241220/1872143/o_o/pt_1872143_8516151.jpg
Renault captur,2020 75000 Kms.,Negociable,$ 16.900,Renault,captur,Crossover,75000 Kms,Aire Acondicionado,4 x 2,Plomo,7,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873223/o_o/pt_1873223_8339468.jpg
Renault CAPTURE INTENS,2020 75000 Kms.,Negociable,$ 16.900,Renault,CAPTURE INTENS,SUV,75000 Kms,Aire Acondicionado,4 x 2,Plomo,7,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873224/o_o/pt_1873224_8449612.jpg
Ford Explorer,1999 109000 Kms.,Negociable,$ 8.400,Ford,Explorer,Todoterreno,109000 Kms,Aire Acondicionado,4 x 2,Vino,6,Eléctricos,Manual,Hidráulica,4000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873697/o_o/pt_1873697_5623437.jpg
Jeep Compass,2018 45000 Kms.,Fijo,$ 22.400,Jeep,Compass,Todoterreno,45000 Kms,Aire Acondicionado,4 x 2,Azul,1,Eléctricos,Automática,Electrónica,2400,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873702/o_o/pt_1873702_6267449.jpg
Jeep Compass Sport,2018 45000 Kms.,Negociable,$ 22.400,Jeep,Compass Sport,Todoterreno,45000 Kms,Aire Acondicionado,4 x 2,Azul,1,Eléctricos,Automática,Electrónica,2400,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873704/o_o/pt_1873704_6421350.jpg
Shineray SWM G03,2024 27000 Kms.,Negociable,$ 14.400,Shineray,SWM G03,Todoterreno Ligero,27000 Kms,Aire Acondicionado,4 x 2,Verde,7,Eléctricos,Manual,Electrónica,1500,Tela,Gasolina,Imbabura,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202516/1873717/o_o/pt_1873717_8443993.jpg
Hyundai Tucson IX,2012 167000 Kms.,Negociable,$ 13.900,Hyundai,Tucson IX,Todoterreno,167000 Kms,Aire Acondicionado,4 x 2,Plata,7,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/202518/1874245/o_o/pt_1874245_8814208.jpg
Audi A5 3.2 FSI,2008 96000 Kms.,Negociable,$ 21.900,Audi,A5 3.2 FSI,Coupé,96000 Kms,Aire Acondicionado,4 x 2,Dorado,5,Eléctricos,Automática,Electrónica,3200,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025120/1876452/o_o/pt_1876452_4179520.jpg
Hyundai Kona,2024 16000 Kms.,Negociable,$ 24.900,Hyundai,Kona,Todoterreno Ligero,16000 Kms,Aire Acondicionado,4 x 2,Plomo,5,Eléctricos,Automática,Electrónica,1600,Tela,Híbrido,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025120/1876559/o_o/pt_1876559_3539889.jpg
Kia Sportage,2015 167000 Kms.,Negociable,$ 13.900,Kia,Sportage,,,,,,,,,,,,,,
Ford Escape S,2015 102000 Mi.,Negociable,$ 13.900,Ford,Escape S,,,,,,,,,,,,,,
Chevrolet D-MAX,2023 53000 Kms.,Negociable,$ 25.400,Chevrolet,D-MAX,Camioneta Doble Cabina,53000 Kms,Aire Acondicionado,4 x 2,Blanco,5,Eléctricos,Manual,Electrónica,2500,Tela,Diesel,Manabí,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241215/1871094/o_o/pt_1871094_294674.jpg
Kia Sportage GT,2023 42000 Kms.,Negociable,$ 29.900,Kia,Sportage GT,Todoterreno Ligero,42000 Kms,Aire Acondicionado,4 x 2,Rojo,4,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241220/1872147/o_o/pt_1872147_8800201.jpg
Ford Ecosport,2020 0 Kms.,Negociable,$ 17.600,Ford,Ecosport,SUV,28000 Millas,Aire Acondicionado,4 x 2,Plata,1,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241221/1872266/o_o/pt_1872266_7253387.jpg
Hyundai GRAN I10,2023 10600 Kms.,Negociable,$ 14.900,Hyundai,GRAN I10,,,,,,,,,,,,,,
Ford Ecosport Titanium,2020 0 Kms.,Negociable,$ 17.600,Ford,Ecosport Titanium,Todoterreno,28000 Millas,Aire Acondicionado,4 x 2,Plata,1,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241221/1872267/o_o/pt_1872267_7362812.jpg
2013 · Land Rover Range Rover Evoque,2013119000 Millas · Riobamba,Negociable,$ 29.500,Land Rover,Range Rover Evoque,Todoterreno,119000 Millas,Climatizador,AWD,Azul,9,Eléctricos,Automática,Hidráulica,2000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025121/1876822/o_o/pt_1876822_1931205.jpeg
2023 · Chery TIGGO 2 PRO,202318505 Kms · Quito,Fijo,$ 13.900,Chery,TIGGO 2 PRO,SUV,18505 Kms,Aire Acondicionado,4 x 2,Plata,9,Eléctricos,Manual,Asistida,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241219/1871932/o_o/pt_1871932_9502259.jpeg
Mitsubishi ASX,2013 70000 Kms.,Negociable,$ 15.900,Mitsubishi,ASX,Todoterreno,70000 Kms,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241226/1872669/o_o/pt_1872669_2752809.jpg
Chevrolet Captiva,2023 29460 Kms.,Negociable,$ 17.900,Chevrolet,Captiva,Todoterreno,29460 Kms,Aire Acondicionado,4 x 2,Rojo,2,Eléctricos,Automática,Electrónica,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873216/o_o/pt_1873216_7723998.jpg
Chevrolet CAPTIVA LT TURBO,2023 29000 Kms.,Negociable,$ 17.900,Chevrolet,CAPTIVA LT TURBO,Todoterreno,29000 Kms,Aire Acondicionado,4 x 2,Vino,2,Eléctricos,Automática,Electrónica,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873217/o_o/pt_1873217_7854868.jpg
Jeep New Compass Sport,2018 0 Kms.,Negociable,$ 21.400,Jeep,New Compass Sport,SUV,41000 Millas,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Electrónica,2400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873218/o_o/pt_1873218_8037185.jpg
Jeep Compass Sport,2018 0 Kms.,Negociable,$ 21.400,Jeep,Compass Sport,Todoterreno,41000 Millas,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Electrónica,2400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20241230/1873221/o_o/pt_1873221_8157170.jpg
Ford Escape,2015 163200 Kms.,Negociable,$ 13.900,Ford,Escape,,,,,,,,,,,,,,
Kia Stonic,2024 15674 Kms.,Negociable,$ 17.900,Kia,Stonic,Crossover,15674 Kms,Aire Acondicionado,4 x 2,Azul,0,Eléctricos,Manual,Hidráulica,1000,Tela,Gasolina,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877327/o_o/pt_1877327_9548947.jpeg
Toyota TOYOTA NEW HILUX SR 2.7 CD 4X4,2019 195000 Kms.,Negociable,$ 32.900,Toyota,TOYOTA NEW HILUX SR 2.7 CD 4X4,Camioneta Doble Cabina,195000 Kms,Aire Acondicionado,4 x 4,Blanco,8,Eléctricos,Manual,Asistida,2700,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2412025/1877383/o_o/1877383_1737736371162_872.jpg
Nissan Qashqai sense,2019 95000 Kms.,Negociable,$ 19.400,Nissan,Qashqai sense,SUV,95000 Kms,Aire Acondicionado,4 x 2,Blanco,0,Eléctricos,Manual,Asistida,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877319/o_o/pt_1877319_7249009.jpg
Chevrolet Tracker LS,2018 151000 Kms.,Negociable,$ 14.900,Chevrolet,Tracker LS,,,,,,,,,,,,,,
Ford F150 XLT 4X4,2020 0 Kms.,Negociable,$ 38.900,Ford,F150 XLT 4X4,Todoterreno,77000 Millas,Aire Acondicionado,4 x 4,Negro,4,Eléctricos,Automática,Electrónica,3300,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877316/o_o/pt_1877316_6820068.jpg
Kia picanto pro,2022 51123 Kms.,Negociable,$ 12.800,Kia,picanto pro,Hatchback (3 Puertas),51123 Kms,Aire Acondicionado,4 x 2,Gris,8,Eléctricos,Manual,Hidráulica,1000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2412025/1877365/o_o/1877365_1737734084926_465.jpg
Chevrolet Captiva Sport,2016 107000 Kms.,Negociable,$ 11.400,Chevrolet,Captiva Sport,Todoterreno,107000 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877377/o_o/pt_1877377_5249163.jpg
Kia Soluto,2023 55000 Kms.,Negociable,$ 14.400,Kia,Soluto,Sedán,55000 Kms,Aire Acondicionado,4 x 2,Azul,4,Eléctricos,Manual,Asistida,1400,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877311/o_o/pt_1877311_5685334.jpg
Chevrolet Captiva,2016 107000 Kms.,Negociable,$ 11.400,Chevrolet,Captiva,Todoterreno,107000 Kms,Aire Acondicionado,4 x 2,Plata,3,Eléctricos,Automática,Electrónica,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877375/o_o/pt_1877375_5042628.jpg
Peugeot BERLINA 206 XS,2006 198000 Kms.,Negociable,$ 7.900,Peugeot,BERLINA 206 XS,,,,,,,,,,,,,,
Toyota Fortuner,2013 205000 Kms.,Negociable,$ 22.900,Toyota,Fortuner,,,,,,,,,,,,,,
Nissan Versa,2019 20000 Kms.,Negociable,$ 14.900,Nissan,Versa,,,,,,,,,,,,,,
Jetour X70 II MT 1.5T,2022 96000 Kms.,Negociable,$ 16.900,Jetour,X70 II MT 1.5T,,,,,,,,,,,,,,
Nissan X-Trail Sense,2017 54921 Kms.,Negociable,$ 18.900,Nissan,X-Trail Sense,,,,,,,,,,,,,,
Toyota RAV 4,2023 46200 Kms.,Negociable,$ 36.900,Toyota,RAV 4,,,,,,,,,,,,,,
Hyundai Kona,2023 4000 Kms.,Negociable,$ 22.900,Hyundai,Kona,Otro,4000 Kms,Aire Acondicionado,4 x 2,Azul,9,Eléctricos,Automática,Hidráulica,1600,Cuero,Gasolina,Azuay,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/20122024/1872098/o_o/1872098_1737731787563_922.jpg
Mazda BT-50 CD 4x2,2016 174000 Kms.,Negociable,$ 16.500,Mazda,BT-50 CD 4x2,,,,,,,,,,,,,,
Citroen C3,2024 11000 Kms.,Negociable,$ 17.600,Citroen,C3,,,,,,,,,,,,,,
Citroen C3 Feel,2024 11000 Kms.,Negociable,$ 17.600,Citroen,C3 Feel,,,,,,,,,,,,,,
Suzuki Grand Vitara SZ,2018 81555 Kms.,Fijo,$ 14.200,Suzuki,Grand Vitara SZ,,,,,,,,,,,,,,
Chevrolet Grand Vitara 5P 4X4,2002 220000 Kms.,Fijo,$ 5.900,Chevrolet,Grand Vitara 5P 4X4,,,,,,,,,,,,,,
Ford TERRITORY TREND,2023 16000 Kms.,Negociable,$ 24.900,Ford,TERRITORY TREND,Crossover,16000 Kms,Aire Acondicionado,N/A,Rojo,5,Eléctricos,Automática,Electrónica,15000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877349/o_o/pt_1877349_1859187.jpg
Ford Territory,2023 16000 Kms.,Negociable,$ 24.900,Ford,Territory,Todoterreno,16000 Kms,Aire Acondicionado,4 x 2,Rojo,5,Eléctricos,Automática,Electrónica,1500,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877347/o_o/pt_1877347_1695805.jpg
Chevrolet Spark GT,2019 73952 Kms.,Negociable,$ 11.400,Chevrolet,Spark GT,Hatchback (5 Puertas),73952 Kms,Aire Acondicionado,N/A,Azul,0,Eléctricos,Manual,Electrónica,1200,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877346/o_o/pt_1877346_1545396.jpg
Chevrolet Spark,2019 73952 Kms.,Negociable,$ 11.400,Chevrolet,Spark,Hatchback (5 Puertas),73952 Kms,Aire Acondicionado,N/A,Azul,0,Eléctricos,Manual,Electrónica,12000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877343/o_o/pt_1877343_1426263.jpg
Mercedes Benz CLA 200,2017 56000 Kms.,Negociable,$ 31.900,Mercedes Benz,CLA 200,Sedán,56000 Kms,Climatizador Bi-Zona,4 x 2,Negro,7,Eléctricos,Automática,Asistida,1600,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/12112024/1864786/o_o/1864786_1731437654322_372.jpg
Volkswagen T-Cross Highline,2023 24000 Kms.,Negociable,$ 24.600,Volkswagen,T-Cross Highline,SUV,24000 Kms,Aire Acondicionado,4 x 2,Negro,9,Eléctricos,Automática,Asistida,1600,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2122024/1868473/o_o/1868473_1733146979942_33.jpg
Hyundai Grand I10 HB,2024 9500 Kms.,Negociable,$ 15.900,Hyundai,Grand I10 HB,,,,,,,,,,,,,,
Honda Pilot EX-L,2020 40000 Kms.,Negociable,$ 45.900,Honda,Pilot EX-L,Todoterreno,40000 Kms,Aire Acondicionado,4 x 4,Plata,5,Eléctricos,Automática,Electrónica,3500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/9122024/1869705/o_o/1869705_1733761391377_737.jpg
2003 · Ford F150 XLT lariat flareside,2003400000 Kms · Sangolqui,Negociable,$ 7.000,Ford,F150 XLT lariat flareside,Camioneta Cabina y Media,400000 Kms,Aire Acondicionado,4 x 4,Rojo,2,Eléctricos delanteros,Automática,Hidráulica,5400,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2024227/1809358/o_o/pt_1809358_50707.jpeg
2020 · Kia Soluto LX,20206000 Kms · Quito,Negociable,$ 13.400,Kia,Soluto LX,Sedán,6000 Kms,Aire Acondicionado,4 x 2,Rojo,6,Eléctricos,Manual,Hidráulica,1.4,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025123/1877193/o_o/pt_1877193_8003905.jpeg
Chery Tiggo 8 pro,2023 36000 Kms.,Negociable,$ 17.400,Chery,Tiggo 8 pro,Todoterreno,36000 Kms,Aire Acondicionado,4 x 2,Rojo,9,Eléctricos,Automática,Asistida,2000,Cuero,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2112025/1876652/o_o/1876652_1737461641349_1.jpg
Toyota Fortuner 2.7,2017 97000 Kms.,Negociable,$ 31.900,Toyota,Fortuner 2.7,Todoterreno,97000 Kms,Aire Acondicionado,4 x 4,Negro,5,Eléctricos,Manual,Asistida,2700,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2112025/1876865/o_o/1876865_1737520802278_453.jpg
Chery Tiggo 7 PRO,2024 21000 Kms.,Negociable,$ 18.900,Chery,Tiggo 7 PRO,,,,,,,,,,,,,,
Ram DS 1500,2019 47000 Mi.,Negociable,$ 42.900,Ram,DS 1500,Camioneta Cabina Simple,47000 Millas,Aire Acondicionado,4 x 4,Plata,7,Eléctricos,Automática,Hidráulica,3600,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1412025/1875566/o_o/1875566_1736900078772_678.jpg
Ford TERRITORY TREND,2023 12000 Kms.,Negociable,$ 23.900,Ford,TERRITORY TREND,Crossover,12000 Kms,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Hidráulica,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2012025/1876413/o_o/1876413_1737365336812_114.jpg
Mini COOPER SE HATCH,2020 12600 Kms.,Negociable,$ 31.900,Mini,COOPER SE HATCH,Hatchback (3 Puertas),12600 Kms,Aire Acondicionado,4 x 2,Rojo,4,Eléctricos,Automática,Hidráulica,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1292024/1852836/o_o/1852836_1726140703985_822.jpg
Toyota New Fortuner,2022 73000 Kms.,Negociable,$ 42.900,Toyota,New Fortuner,Todoterreno,73000 Kms,Aire Acondicionado,4 x 4,Gris,1,Eléctricos,Manual,Hidráulica,2700,Cuero,Gasolina,Tungurahua,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/1792024/1854019/o_o/1854019_1726613814665_39.jpg
Ford Territory,2023 12000 Kms.,Negociable,$ 23.900,Ford,Territory,Todoterreno,12000 Kms,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Hidráulica,1500,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2012025/1876414/o_o/1876414_1737365899156_821.jpg
BMW 335ci,2011 65900 Kms.,Negociable,$ 35.900,BMW,335ci,Convertible,65900 Kms,Aire Acondicionado,4 x 2,Rojo,3,Eléctricos,Automática,Asistida,3000,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/11122024/1870410/o_o/1870410_1733956377778_219.jpg
Kia Rio,2021 46000 Kms.,Negociable,$ 16.900,Kia,Rio,,,,,,,,,,,,,,
BMW 318i,2018 69000 Kms.,Negociable,$ 29.900,BMW,318i,Sedán,69000 Kms,Aire Acondicionado,AWD,Blanco,4,Eléctricos,Automática,Asistida,1500,Cuero,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2212025/1877074/o_o/1877074_1737591017287_534.jpg
BMW 318,2018 69000 Kms.,Negociable,$ 29.900,BMW,318,Sedán,69000 Kms,Aire Acondicionado,4 x 2,Blanco,4,Eléctricos,Automática,Asistida,1500,Cuero,Gasolina,Guayas,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2212025/1877077/o_o/1877077_1737591700873_563.jpg
Suzuki Grand Vitara SZ 2.4,2015 152000 Kms.,Negociable,$ 13.800,Suzuki,Grand Vitara SZ 2.4,,,,,,,,,,,,,,
Jeep Wrangler Rubicon,2012 86000 Kms.,Negociable,$ 34.500,Jeep,Wrangler Rubicon,,,,,,,,,,,,,,
Chevrolet ONIX,2021 67000 Kms.,Fijo,$ 11.900,Chevrolet,ONIX,Sedán,67000 Kms,Aire Acondicionado,N/A,Azul,5,Eléctricos,Manual,Electrónica,1.0,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877320/o_o/pt_1877320_7655010.jpg
Citroen C3 Feel,2020 59000 Kms.,Negociable,$ 16.500,Citroen,C3 Feel,,,,,,,,,,,,,,
Volkswagen Touareg,2014 49000 Mi.,Negociable,$ 39.900,Volkswagen,Touareg,Todoterreno,49000 Millas,Climatizador Bi-Zona,4 x 4,Azul,2,Eléctricos,Automática,Hidráulica,3598,Cuero,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2672024/1843157/o_o/1843157_1722020477206_353.jpeg
Nissan Qashqai sense,2019 95000 Kms.,Negociable,$ 19.400,Nissan,Qashqai sense,Todoterreno,95000 Kms,Aire Acondicionado,4 x 2,Blanco,0,Eléctricos,Manual,Electrónica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877321/o_o/pt_1877321_7461533.jpg
Nissan Qashqai,2019 95000 Kms.,Negociable,$ 19.400,Nissan,Qashqai,Todoterreno,95000 Kms,Aire Acondicionado,4 x 2,Blanco,0,Eléctricos,Manual,Hidráulica,2000,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877318/o_o/pt_1877318_7314634.jpg
Ford F150 DC 4X4,2020 0 Kms.,Negociable,$ 38.900,Ford,F150 DC 4X4,Camioneta Doble Cabina,77000 Millas,Aire Acondicionado,4 x 4,Negro,4,Eléctricos,Automática,Electrónica,3300,Tela,Gasolina,Pichincha,https://images.patiotuerca.com/thumbs/w/990x540xC/amz_ptf_ecuador/2025124/1877317/o_o/pt_1877317_7020590.jpg
